職稱,公司名稱,要求工作經驗,要求學歷,所需技能
總部．業務副理(北區)_Asst. Sales Manager,國泰飯店觀光事業_和逸飯店_慕軒飯店_國泰商旅股份有限公司,2年以上,大學、碩士,不拘
ISSEY MIYAKE 三宅一生Sales Specialist - 大台北區,君梵有限公司,不拘,專科、大學,不拘
業務代表(中區)/Sales Manager,台灣達亨能源科技有限公司,2年以上,大學以上,不拘
總部．業務推廣專員_Sales Coordinator(北區),國泰飯店觀光事業_和逸飯店_慕軒飯店_國泰商旅股份有限公司,不拘,專科、大學、碩士,不拘
新加坡業務經理Singapore sales representative,香港商磐旭智能國際股份有限公司台灣分公司,3年以上,大學、碩士,"['國外業務開發', '業務或通路開發', '客戶情報蒐集', '產品介紹及解說銷售']"
<高雄> BoConcept 門市銷售專員 Sales Executive,創空間概念股份有限公司,1年以上,專科以上,不拘
<台北>BoConcept 門市銷售專員 (Sales Executive),創空間概念股份有限公司,不拘,高中以上,"['櫃檯門市接待與需求服務', '產品介紹及解說銷售']"
Junior sales 銷售人員 (三井outlet 短期約聘),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中以上,不拘
Junior Sales 銷售人員 (桃園大遠百),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中、專科、大學、碩士,不拘
業務支援工程師(Pre-sales),訊達電腦股份有限公司,5年以上,大學以上,提案與簡報技巧
派遣至LINE-EC Platform Sales Marketing [115-49],萬寶華企業管理顧問股份有限公司,3年以上,大學以上,不拘
Sales Manager【英文】－知名遊戲企業 (14362),立樂高園股份有限公司,不拘,大學以上,不拘
業務支援助理人員 (Sales Support),動力安全資訊股份有限公司,3年以上,專科、大學,不拘
醫療設備業務代表(Sales Engineer)(南區),香港商利和醫療設備有限公司台灣分公司,3年以上,大學,不拘
郵輪 | 精品銷售專員 Duty Free Sales Associate,瀚豐國際有限公司,1年以上,高中以上,不拘
廣告開發業務經理 Sales Account Manager,米樂行銷顧問有限公司,2年以上,專科、大學、碩士,"['品牌行銷管理', '提案與簡報技巧', '行銷宣傳預算編製與控管', '行銷策略擬定', '品牌知名度推廣', '廣告預算控管', '顧客關係管理', '社群媒體經營管理', '市場調查企劃與執行', '傳播媒體採購規劃', '廣告企劃案╱文案撰寫', '廣告效益評估', '廣告創意發想與提案']"
Technical Sales技術支援工程師,晶翔機電股份有限公司,2年以上,大學、碩士,不拘
【KOL Radar】資深業務專員 Senior Sales Specialist,愛卡拉互動媒體股份有限公司,3年以上,專科、大學,不拘
ISSEY MIYAKE 三宅一生Sales Specialist - 台中區,君梵有限公司,不拘,專科、大學,不拘
621_Sales PM (IPC/IOT 產品 - 北美市場),Spring Professional_藝珂人事顧問股份有限公司躍科分公司,5年以上,大學、碩士,不拘
業務行銷儲備幹部 (Sales & Marketing Specialist),英屬維京群島商百崴宇智股份有限公司台灣分公司,不拘,大學、碩士,"['行銷製作物規劃與執行', '品牌行銷管理', '提案與簡報技巧', '實體活動規劃與執行', '網站企劃能力', '網路活動規劃與執行', '行銷策略擬定', '品牌知名度推廣', '社群媒體經營管理', '網站流量成效追蹤']"
<桃園>BoConcept 門市銷售專員 (Sales Executive),創空間概念股份有限公司,不拘,高中以上,"['櫃檯門市接待與需求服務', '產品介紹及解說銷售']"
Senior Sales & Project Executive 資深業務專案執行,法亞科技整合行銷股份有限公司,3年以上,大學以上,"['專案時間╱進度控管', '專案規劃執行╱範圍管理', '異業合作規劃與執行', '廣告企劃案╱文案撰寫', '廣告創意發想與提案', '廣告業務銷售能力', '多媒體企劃設計', '多媒體簡報製作']"
展示專員 Sales Advisor_台南,美商德盟全球凱展股份有限公司台灣分公司,不拘,不拘,"['客戶情報蒐集', '產品介紹及解說銷售']"
中區業務專員 (Sales Associate) – 行銷業務處,匯悅有限公司,不拘,專科、大學、碩士,不拘
Digital Advertising Sales 數位廣告採購/銷售,柏媒網絡科技有限公司,2年以上,大學以上,"['顧客關係管理', '傳播媒體採購規劃', '廣告企劃案╱文案撰寫', '廣告效益評估']"
ISSEY MIYAKE 三宅一生Sales Specialist -林口三井OUTLET,君梵有限公司,不拘,專科、大學,不拘
業務類-2020潛力新秀(Sales),威剛科技股份有限公司,不拘,大學以上,不拘
眼科-人工水晶體耗材 Sales Rep. (North),科林儀器股份有限公司,不拘,大學以上,不拘
南區業務專員 (Sales Associate) – 行銷業務處,匯悅有限公司,不拘,專科、大學、碩士,不拘
電能事業群-Account Sales 資深經理,光寶科技股份有限公司,10年以上,大學以上,不拘
Junior Sales 銷售人員(天母大葉高島屋),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中、專科、大學、碩士,不拘
[職場新鮮人計畫] 技術行銷工程師 Technical Sales Engineer - 八個月職前海內外培訓[工作地點：台北、新竹、台中或高雄] (限應屆畢業生或正職工作經驗一年以下者申請),德州儀器工業股份有限公司,不拘,大學、碩士,不拘
餐飲業務副主任 Assistant Catering Sales Supervisor,高雄萬豪酒店_Kaohsiung Marriott Hotel _朕豪大酒店股份有限公司,1年以上,專科、大學、碩士,"['品牌知名度推廣', '顧客關係管理', '客戶資料更新維護', '業務或通路開發', '業績與管理報表撰寫', '產品介紹及解說銷售']"
Junior sales 銷售人員 (台北地區 短期約聘),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中以上,不拘
SALES_國內業務 (新竹開發區),宜鼎國際股份有限公司,2年以上,大學、碩士,不拘
總部．業務副理(南區)_Asst. Sales Manager,國泰飯店觀光事業_和逸飯店_慕軒飯店_國泰商旅股份有限公司,2年以上,大學、碩士,不拘
【POS/Tablet】Senior Sales【林口】,神達電腦股份有限公司,5年以上,大學、碩士,不拘
業務產品經理 Sales Product Manager (MO),正積材料有限公司,不拘,大學以上,"['客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '文書處理軟體操作', '簡報軟體操作', '半導體材料採購', '半導體產業市場分析', '光電元件材料採購', '製作規格說明書', '化學分析能力', '材料評估測試', '高分子材料設計與合成', '產品材料分析', '化工反應工程作業', '化工熱力學相關知識', '判讀化工相關製程圖', '客戶端技術服務業務', '提供化學工程技術服務', '熟悉化學工程原理', '技術文件翻譯']"
Health Care Industry Sales (AM) _ 汐止 _ 90388,緯創資通股份有限公司,3年以上,大學、碩士,不拘
Sales Associate_Chloe 銷售顧問 (Gloria 華泰名品城),"Richemont Asia Pacific Ltd., Taiwan Branch_香港商歷峯亞太有限公司台灣分公司",2年以上,高中以上,不拘
SALES_業務主任(區域: 俄羅斯/CIS),宜鼎國際股份有限公司,1年以上,大學、碩士,不拘
Sales coordinator(業務/行政專員),就業情報資訊股份有限公司,2年以上,大學以上,不拘
資深門市銷售人員 / 門市銷售人員 (Senior Sales Associate / Sales Associate),香港商豐汎海外有限公司台灣分公司,不拘,高中、專科、大學,不拘
FAE(AC-DC) - TSE(Technical Sales Engineer),增你強股份有限公司,3年以上,專科、大學、碩士,不拘
業務代表(北區)/Sales Manager,台灣達亨能源科技有限公司,2年以上,大學以上,不拘
Sales Manager 國內外業務開發專員,"Adam Elements International Co., Ltd._亞果元素國際股份有限公司",不拘,專科、大學,不拘
Sales Associate_Chloe 銷售顧問 (台北),"Richemont Asia Pacific Ltd., Taiwan Branch_香港商歷峯亞太有限公司台灣分公司",2年以上,高中、專科、大學,不拘
電能事業群-Sales/PM專員,光寶科技股份有限公司,5年以上,大學以上,不拘
(BZ00-BQ002) 業務經理 Sales Manager,新漢智能系統股份有限公司,3年以上,專科、大學、碩士,不拘
國內業務工程師(KA Sales),Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
業務工程師(Sales Engineer),行家光電股份有限公司,5年以上,大學以上,不拘
Senior operation & supply chain specialist/manager (Sales_042),正文科技股份有限公司,5年以上,大學、碩士,不拘
Sales Manager ( MIM  金屬射出成型),貝爾威勒電子股份有限公司,5年以上,大學以上,不拘
業務副理 Sales Assistant Manager,新竹英迪格酒店_英屬維京群島商科晟有限公司台灣分公司新竹營業處所,不拘,不拘,不拘
AV sales engineer / 會議系統整合工程師,荷蘭商瑞技計算機科技有限公司台灣分公司,不拘,專科以上,不拘
6IXTY8IGHT (Junior) Sales Associate 店員 (桃園台茂),6IXTY8IGHT_香港商路發企業有限公司台灣分公司,1年以上,高中、專科、大學,不拘
Sales Supporting Engineer 業務支援工程師(派駐海外),聖勝科技有限公司,不拘,高中、專科、大學、碩士,不拘
Health Care Industry Oversea Sales (AM) _ 汐止 _ 90388,緯創資通股份有限公司,5年以上,碩士以上,不拘
計時商品銷售員 Part Time - Merchandise Sales Attendant,澎湖福朋喜來登酒店_佳朋開發股份有限公司,不拘,高中以上,"['結帳作業與帳務處理', '櫃檯門市接待與需求服務', '產品介紹及解說銷售']"
【北部地區】醫藥業務代表(Sales Representative / Executive),怡特生醫科技有限公司,不拘,大學以上,不拘
【日商SEASTAR】國外業務主管/專員  Sales Manager/Specialist,安貝兒康股份有限公司,5年以上,大學以上,不拘
業務行政助理 (Sales & Admin. Assistant) – 行銷業務處,匯悅有限公司,不拘,高中、專科、大學,不拘
技術業務工程師 - 新北/台北市皆可 Technical Sales Engineer,台灣巴魯夫有限公司,3年以上,專科,"['客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成']"
Senior Sales Associate -浪凡中山店,台灣浪凡股份有限公司,5年以上,專科、大學,產品介紹及解說銷售
國外業務開發專員 (儲備幹部) International Business Development Sales,歐律有限公司,2年以上,大學、碩士,"['提案與簡報技巧', '國際貿易基本概念', '客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '客戶情報蒐集', '客訴案件處理']"
Key Account Manager/Account Sales/國外業務,炫邑股份有限公司,不拘,大學、碩士,"['客戶資料更新維護', '業績與管理報表撰寫']"
kate spade - Sr. Sales Associate 資深銷售人員 - 華泰名品城,香港商楷思培有限公司台灣分公司,3年以上,高中以上,不拘
(2019金商獎-優良外商)新竹Sales業務專員,香港商福維克樂智有限公司台灣分公司,不拘,高中以上,"['工作任務╱業績項目分配', '業績目標達成', '顧客關係管理', '客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成']"
Sales Assistant (短期約聘),愛瑪麗歐股份有限公司,1年以上,專科以上,不拘
技術業務工程師 - 桃園市全區皆可 Technical Sales Engineer,台灣巴魯夫有限公司,3年以上,專科,"['客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成']"
實習計畫-業務行銷實習生(Sales and Marketing Intern),佳創生技股份有限公司,不拘,大學,不拘
【總公司】國外業務 International Sales～歡迎挑戰高薪,六角國際事業股份有限公司,3年以上,大學以上,不拘
(2019金商獎-優良外商)嘉義Sales業務專員,香港商福維克樂智有限公司台灣分公司,不拘,高中以上,"['工作任務╱業績項目分配', '業績目標達成', '顧客關係管理', '客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成']"
主要客戶業務開發經理/Key Account Business Development Sales Manager,台灣達亨能源科技有限公司,2年以上,大學以上,不拘
[B2B] Sales Manager(資深)業務經理,新美互通科技有限公司,3年以上,大學、碩士,不拘
海外Sales PM(東南亞市場),91APP_九易宇軒股份有限公司,不拘,大學以上,不拘
(2019金商獎-優良外商)桃園Sales業務專員,香港商福維克樂智有限公司台灣分公司,不拘,高中以上,"['工作任務╱業績項目分配', '業績目標達成', '顧客關係管理', '客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成']"
(2019金商獎-優良外商)台南Sales業務專員,香港商福維克樂智有限公司台灣分公司,不拘,高中以上,"['工作任務╱業績項目分配', '業績目標達成', '顧客關係管理', '客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成']"
