職稱,公司名稱,要求工作經驗,要求學歷,所需技能
台灣上市公司 - 工控車用市場  Sales Manager (日本線),Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,不拘,專科以上,不拘
IT/Software VP (global e-commerce & direct sales platform),台灣米高蒲志國際股份有限公司,不拘,大學以上,不拘
Sales Representative (Southeast Asia ),弘凱光電股份有限公司,3年以上,大學,"['行銷策略擬定', '市場調查資料分析與報告撰寫', '國外業務開發', '業務或通路開發', '業績與管理報表撰寫']"
Sales Director 業務總監,"Adam Elements International Co., Ltd._亞果元素國際股份有限公司",8年以上,大學以上,不拘
Ocean Sales Manager / Director(嘉昇國際貨運(股)公司),嘉里大榮物流股份有限公司,3年以上,大學以上,不拘
Field Sales (Japan),遠東金士頓科技股份有限公司,5年以上,專科、大學、碩士,不拘
Sales Staff,"俊華電子企業股份有限公司(ENFORCER, SECO-LARM)",不拘,大學以上,不拘
<Internship Program> Audi Sales Intern,奧迪福斯汽車股份有限公司,不拘,大學、碩士,不拘
派遣至西門子公司-Sales assistant 業務助理- 105 EL,萬寶華企業管理顧問股份有限公司,1年以上,專科、大學,不拘
Japan Branch - Sales Manager 日本業務經理 ,安華聯網科技股份有限公司,3年以上,大學以上,不拘
派遣至西門子公司-Sales administrator業務行政專員- 105 EL,萬寶華企業管理顧問股份有限公司,1年以上,專科、大學,不拘
Regional Sales Manager(Global Marine Bunkering and Oil Trading),台灣米高蒲志國際股份有限公司,5年以上,大學,不拘
銷售工程師 Sales Engineer,鼎龍機械有限公司,3年以上,大學以上,不拘
台南廠-Sales PM,正美企業股份有限公司,3年以上,大學、碩士,不拘
東歐地區業務／專案經理(Eastern Europe Regional Sales／Account Manager),十銓科技股份有限公司,1年以上,大學、碩士,不拘
Sales Manager 業務經理,Lalamove啦啦快送_小蜂鳥國際物流有限公司,3年以上,大學以上,"['業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力']"
